portofentry,Port Name,City,Flag
FOP,MORRIS FIELDS AAF, NC,Valid
GSO,PIEDMONT TRIAD INTL AIRPORT, NC,Valid
RDU,RALEIGH/DURHAM, NC    ,Valid
SSC,SHAW AFB - SUMTER, NC,Valid
WIL,WILMINGTON, NC        ,Valid
AMB,AMBROSE, ND           ,Valid
ANT,ANTLER, ND            ,Valid
CRY,CARBURY, ND           ,Valid
DNS,DUNSEITH, ND          ,Valid
FAR,FARGO, ND             ,Valid
FRT,FORTUNA, ND           ,Valid
GRF,GRAND FORKS, ND       ,Valid
HNN,HANNAH, ND            ,Valid
HNS,HANSBORO, ND          ,Valid
MAI,MAIDA, ND             ,Valid
MND,MINOT, ND             ,Valid
NEC,NECHE, ND             ,Valid
NOO,NOONAN, ND            ,Valid
NRG,NORTHGATE, ND         ,Valid
PEM,PEMBINA, ND           ,Valid
SAR,SARLES, ND            ,Valid
SHR,SHERWOOD, ND          ,Valid
SJO,ST JOHN, ND           ,Valid
WAL,WALHALLA, ND          ,Valid
WHO,WESTHOPE, ND          ,Valid
WND,WILLISTON, ND         ,Valid
OMA,OMAHA, NE             ,Valid
LEB,LEBANON, NH           ,Valid
MHT,MANCHESTER, NH,Valid
PNH,PITTSBURG, NH         ,Valid
PSM,PORTSMOUTH, NH        ,Valid
BYO,BAYONNE, NJ           ,Valid
CNJ,CAMDEN, NJ            ,Valid
HOB,HOBOKEN, NJ           ,Valid
JER,JERSEY CITY, NJ       ,Valid
WRI,MC GUIRE AFB - WRIGHTSOWN, NJ,Valid
MMU,MORRISTOWN, NJ,Valid
NEW,NEWARK/TETERBORO, NJ  ,Valid
PER,PERTH AMBOY, NJ       ,Valid
ACY,POMONA FIELD - ATLANTIC CITY, NJ,Valid
ALA,ALAMAGORDO, NM (BPS),Valid
ABQ,ALBUQUERQUE, NM       ,Valid
ANP,ANTELOPE WELLS, NM    ,Valid
CRL,CARLSBAD, NM          ,Valid
COL,COLUMBUS, NM          ,Valid
CDD,CRANE LAKE - ST. LOUIS CNTY, NM,Valid
DNM,DEMING, NM (BPS),Valid
LAS,LAS CRUCES, NM        ,Valid
LOB,LORDSBURG, NM (BPS),Valid
RUI,RUIDOSO, NM,Valid
STR,SANTA TERESA, NM      ,Valid
RNO,CANNON INTL - RENO/TAHOE, NV,Valid
FLX,FALLON MUNICIPAL AIRPORT, NV,Valid
LVG,LAS VEGAS, NV         ,Valid
REN,RENO, NV              ,Valid
ALB,ALBANY, NY            ,Valid
AXB,ALEXANDRIA BAY, NY    ,Valid
BUF,BUFFALO, NY           ,Valid
CNH,CANNON CORNERS, NY,Valid
CAP,CAPE VINCENT, NY      ,Valid
CHM,CHAMPLAIN, NY         ,Valid
CHT,CHATEAUGAY, NY        ,Valid
CLA,CLAYTON, NY           ,Valid
FTC,FORT COVINGTON, NY    ,Valid
LAG,LA GUARDIA, NY        ,Valid
LEW,LEWISTON, NY          ,Valid
MAS,MASSENA, NY           ,Valid
MAG,MCGUIRE AFB, NY       ,Valid
MOO,MOORES, NY            ,Valid
MRR,MORRISTOWN, NY        ,Valid
NYC,NEW YORK, NY          ,Valid
NIA,NIAGARA FALLS, NY     ,Valid
OGD,OGDENSBURG, NY        ,Valid
OSW,OSWEGO, NY            ,Valid
ELM,REGIONAL ARPT - HORSEHEAD, NY,Valid
ROC,ROCHESTER, NY         ,Valid
ROU,ROUSES POINT, NY      ,Valid
SWF,STEWART - ORANGE CNTY, NY,Valid
SYR,SYRACUSE, NY          ,Valid
THO,THOUSAND ISLAND BRIDGE, NY,Valid
TRO,TROUT RIVER, NY       ,Valid
WAT,WATERTOWN, NY         ,Valid
HPN,WESTCHESTER - WHITE PLAINS, NY,Valid
WRB,WHIRLPOOL BRIDGE, NY,Valid
YOU,YOUNGSTOWN, NY        ,Valid
AKR,AKRON, OH             ,Valid
ATB,ASHTABULA, OH         ,Valid
CIN,CINCINNATI, OH        ,Valid
CLE,CLEVELAND, OH         ,Valid
CLM,COLUMBUS, OH          ,Valid
LOR,LORAIN, OH            ,Valid
MBO,MARBLE HEADS, OH      ,Valid
SDY,SANDUSKY, OH          ,Valid
TOL,TOLEDO, OH            ,Valid
OKC,OKLAHOMA CITY, OK     ,Valid
TUL,TULSA, OK,Valid
AST,ASTORIA, OR           ,Valid
COO,COOS BAY, OR          ,Valid
HIO,HILLSBORO, OR,Valid
MED,MEDFORD, OR           ,Valid
NPT,NEWPORT, OR           ,Valid
POO,PORTLAND, OR          ,Valid
PUT,PUT-IN-BAY, OH        ,Valid
